month,Error%,RMS
2025-01-01,3.454256701964286,1459.4031298225511
2025-02-01,4.047922185153538,1587.7369001393563
2025-03-01,4.772294974325716,1694.787034102304
2025-04-01,5.595803074663381,1805.7157225770413
2025-05-01,5.169003635920275,1459.6598217561223
2025-06-01,5.850689926802541,1623.5110560969658
2025-07-01,4.497965811154335,1384.3086652670988
2025-08-01,4.933922918273867,1433.9902327312209
2025-09-01,5.2632247865728194,1617.7651686577642
2025-10-01,4.33266429289023,1386.501958256159
2025-11-01,3.822266890897595,1430.0083603130486
2025-12-01,3.954926220462793,1465.4327872279218
2026-01-01,4.067201719963208,1660.305636464984
2026-02-01,4.486167261553891,1745.8364593817903
2026-03-01,5.988638644009446,2087.13584308947
2026-04-01,6.57056410874506,1955.5967929687843
2026-05-01,5.101537303218009,1411.5904965571938
2026-06-01,6.474473329769557,1902.9236344371861
