seed,epoch,train_loss,val_loss,early_stop
40,0,0.3434065613936592,0.09106290278335412,False
40,1,0.06866749154997397,0.07250764314085245,False
40,2,0.05536686717072031,0.06577739585191011,False
40,3,0.051916514861059714,0.0682865163932244,False
40,4,0.05033677159348032,0.059228685684502125,False
40,5,0.04793381801509595,0.05992337812980016,False
40,6,0.047348694364120675,0.058329430408775806,False
40,7,0.046738878363272646,0.05559149260322253,False
40,8,0.04584976328680149,0.059868330135941505,False
40,9,0.04594038733905488,0.06993382858733337,False
40,10,0.043702098878694105,0.05396920535713434,False
40,11,0.04377603428540649,0.053451141342520714,False
40,12,0.04283508050490867,0.053199827360610165,False
40,13,0.04289561808928029,0.05491160601377487,False
40,14,0.04233491115763292,0.050492794873813786,False
40,15,0.04295675906833712,0.05296580120921135,False
40,16,0.04231290347301043,0.048992070679863296,False
40,17,0.04138654386522351,0.05312075434873501,False
40,18,0.04077873190680703,0.04820874333381653,False
40,19,0.042264628050091506,0.05303955885271231,False
40,20,0.04082945713793838,0.05979140195995569,False
40,21,0.03993824998346659,0.050280009706815086,False
40,22,0.03955335870057672,0.04786931133518616,False
40,23,0.039975125895260456,0.04977108476062616,False
40,24,0.04029516728369744,0.047476318975289665,False
40,25,0.038555390293617826,0.050055443619688354,False
40,26,0.03894415121157091,0.047162932343780994,False
40,27,0.03807097826930848,0.04746841639280319,False
40,28,0.03885609597213321,0.05333247625579437,False
40,29,0.03852669149637222,0.04981703869998455,False
40,30,0.03797537782280655,0.05094297385464112,False
40,31,0.03818052904782714,0.05155218206346035,False
40,32,0.03874679589337045,0.05067151846985022,False
40,33,0.038683068641758224,0.04896302676449219,False
40,34,0.037315313448454,0.05139081614712874,False
40,35,0.03747250082401129,0.049979690151909985,False
40,36,0.038114514611252065,0.0536204461629192,True
41,0,0.33309734195143315,0.09664435436328252,False
41,1,0.07424942592343131,0.06963693878302972,False
41,2,0.055631980299949646,0.06590377353131771,False
41,3,0.051261053164745427,0.06018754933029413,False
41,4,0.04918351597510851,0.06239095361282428,False
41,5,0.04787461037982951,0.058739825151860714,False
41,6,0.04717279524429814,0.05285286158323288,False
41,7,0.04611099298511233,0.057901485512653984,False
41,8,0.044406905627021424,0.054405009374022484,False
41,9,0.04478350357449317,0.05578666894386212,False
41,10,0.04487000041446843,0.053178713036080204,False
41,11,0.042627484732113044,0.04964416536192099,False
41,12,0.04334801140722338,0.05154110242923101,False
41,13,0.04161440130773481,0.049739076755940914,False
41,14,0.04132290739197653,0.0523286871612072,False
41,15,0.041261358350351614,0.055849714204669,False
41,16,0.042409500373261313,0.05511173574874798,False
41,17,0.04095186720919478,0.04971068321416775,False
41,18,0.04042886185285809,0.06065849090615908,False
41,19,0.040168749168515205,0.04952215186009804,False
41,20,0.03976665582548786,0.05093568998078505,False
41,21,0.03912491498740165,0.050554049822191395,False
41,22,0.03915621661632271,0.04787001945078373,False
41,23,0.03971175562876921,0.05201553056637446,False
41,24,0.04003026496086802,0.05309454289575418,False
41,25,0.03948729217134334,0.04970643141617378,False
41,26,0.03893250939282742,0.050875783587495484,False
41,27,0.03824368688267666,0.047707020615537964,False
41,28,0.03831596328661992,0.04989116732031107,False
41,29,0.038420406569327624,0.05078761434803406,False
41,30,0.0387451734066337,0.051919031577805676,False
41,31,0.03858938964677381,0.050908737195034824,False
41,32,0.03837879567028402,0.04734626940141121,False
41,33,0.037791347376756615,0.05424491253991922,False
41,34,0.0378367567209752,0.047868578073879085,False
41,35,0.03767415031708859,0.05348223199446996,False
41,36,0.03750644356094219,0.0503023744871219,False
41,37,0.03671494118132434,0.049742223074038826,False
41,38,0.03703444248454257,0.04877460468560457,False
41,39,0.03861179356309739,0.05392761124918858,False
41,40,0.036710568898163,0.05074965953826904,False
41,41,0.037073808548214675,0.04885441282143196,False
41,42,0.03722595349772946,0.04954487861444553,True
42,0,0.34667523467278744,0.08560456521809101,False
42,1,0.06562590881527125,0.07454246903459232,False
42,2,0.05612804621949301,0.0668928933640321,False
42,3,0.05103061794415935,0.0648996103554964,False
42,4,0.05003356499658836,0.06220656633377075,False
42,5,0.04958279396069574,0.05896108690649271,False
42,6,0.047568703356843725,0.05319568980485201,False
42,7,0.047117653947610125,0.057274267077445984,False
42,8,0.04511196231776542,0.052707262337207794,False
42,9,0.04547156395574847,0.05351481772959232,False
42,10,0.045321985465157165,0.05514068187524875,False
42,11,0.043476315726945686,0.05208464618772268,False
42,12,0.04301490591695675,0.058831337528924145,False
42,13,0.04249406427881875,0.051725455249349274,False
42,14,0.043397330095643526,0.05064592075844606,False
42,15,0.041615627910737155,0.053687473138173424,False
42,16,0.04151796447215499,0.051929665729403496,False
42,17,0.040594840954457014,0.05054035627593597,False
42,18,0.04021714787398066,0.059836666099727154,False
42,19,0.04074024171619625,0.04938843318571647,False
42,20,0.03993830205565625,0.05443937828143438,False
42,21,0.04030999643625794,0.05066825977216164,False
42,22,0.03929787286772178,0.05082410853356123,False
42,23,0.03966002284989252,0.048452114996810756,False
42,24,0.03836042724631645,0.04763001545021931,False
42,25,0.03905313306457394,0.05175826077659925,False
42,26,0.03893809440126131,0.04879068490117788,False
42,27,0.038553352580293195,0.051282054744660854,False
42,28,0.038216287966121684,0.04810339119285345,False
42,29,0.03786283582039587,0.04925364628434181,False
42,30,0.0391986460762692,0.04785810923203826,False
42,31,0.03765111027674361,0.0558121083304286,False
42,32,0.03771024752039831,0.05063187889754772,False
42,33,0.038050971434011566,0.04949777262906233,False
42,34,0.03859839131953297,0.050039349434276424,True
43,0,0.36807091534137726,0.10986473100880782,False
43,1,0.07087627225197278,0.06981234128276508,False
43,2,0.05639667501980132,0.06399993225932121,False
43,3,0.0516737940629105,0.05936050352950891,False
43,4,0.05047003978065082,0.057694432946542897,False
43,5,0.04966081445524981,0.05934924756487211,False
