seed,Error %,RMS
40,5.03500188480665,1726.2828561988372
41,5.0922917301374175,1745.355281150998
42,5.325500753188282,1795.6767343487209
43,4.972203241486114,1710.7111516491657
44,5.13037897696433,1750.943185795744
45,4.8648454261042735,1691.1865759860248
46,4.975831941309583,1735.8705491741025
47,5.142236607972352,1745.3479782361328
48,5.227279871439658,1781.17042832445
49,4.880772287313351,1666.7911358004653
