Model,Error %,RMS
Baseline (day),7.357258337744497,2574.6112963297346
Baseline (week),8.438590317815972,2917.2769054235278
Linear Regression,6.032735791044173,1985.495003653166
XGBoost,4.815472164721458,1583.8597313597556
"LSTM (avg, seeds 40-49)",5.064634272072201,1734.933587666464
